time_slot,resource,teams
10:30-10:40,Line Entry – Arena 1,Negativ
10:30-10:40,Line Entry – Arena 2,Botzilla
10:30-10:40,Line Entry – Arena 3,Ifhungryeat
10:30-10:40,Line – Arena 1,Mechanic Team
10:30-10:40,Line – Arena 2,Eurobot
10:30-10:40,Line – Arena 3,Library
10:30-10:40,Maze – Arena 1,B.Robots Seniors
10:30-10:40,Online_Simulation – Arena 1,Metal Minds
10:40-10:50,Line Entry – Arena 1,Schwainsbraten_Hooligans
10:40-10:50,Line Entry – Arena 2,Gulaschpanzer
10:40-10:50,Line Entry – Arena 3,Cyberhühner
10:40-10:50,Line – Arena 1,Die Haftelmacher
10:40-10:50,Line – Arena 2,Das Original
10:40-10:50,Line – Arena 3,we:bots
10:40-10:50,Maze – Arena 1,B.Robots
10:40-10:50,Online_Simulation – Arena 1,MS LaHö
10:50-11:00,Line Entry – Arena 1,CyberStorm
10:50-11:00,Line Entry – Arena 2,Die Linienrichter
10:50-11:00,Line Entry – Arena 3,Night Strikers
10:50-11:00,Line – Arena 1,GearUp
10:50-11:00,Line – Arena 2,Die Glorreichen 4
10:50-11:00,Line – Arena 3,Kaktus
10:50-11:00,Maze – Arena 1,B.Robots Juniors
10:50-11:00,Online_Simulation – Arena 1,O-Dorf
11:00-11:10,Line Entry – Arena 1,Stroke_of_Genius
11:00-11:10,Line Entry – Arena 2,Code4U Line
11:00-11:10,Line Entry – Arena 3,Salamibrot
11:00-11:10,Line – Arena 1,Nebenniere
11:00-11:10,Line – Arena 2,Kepler 404
11:00-11:10,Line – Arena 3,2 Gehörnzellen
11:00-11:10,Maze – Arena 1,Lugner
11:00-11:10,Online_Simulation – Arena 1,MS HöWe
11:10-11:20,Line Entry – Arena 1,Made in China
11:10-11:20,Line Entry – Arena 2,Miss klickt
11:10-11:20,Line Entry – Arena 3,The Ninjas
11:10-11:20,Line – Arena 1,Project William
11:10-11:20,Line – Arena 2,Project X
11:10-11:20,Line – Arena 3,TriByte
11:10-11:20,Maze – Arena 1,Fight Club
11:20-11:30,Line Entry – Arena 1,Project Pommes
11:20-11:30,Line Entry – Arena 2,Potato Girls
11:20-11:30,Line Entry – Arena 3,Kampfzwerge
11:20-11:30,Line – Arena 1,NanoRobots
11:20-11:30,Line – Arena 2,Angora Goasbock
11:20-11:30,Line – Arena 3,Project PVP
11:20-11:30,Maze – Arena 1,Monstar in Muul
11:30-11:40,Line Entry – Arena 1,Ninja Turtles
11:30-11:40,Line Entry – Arena 2,Big Rösti
11:30-11:40,Line Entry – Arena 3,No pain no gain
11:30-11:40,Line – Arena 1,Deep-Drive
11:30-11:40,Line – Arena 2,Die (3) 2 Robomenschen
11:30-11:40,Line – Arena 3,HTL Trieben Engineering
11:30-11:40,Maze – Arena 1,Gebrüder Weiss CRO Team
11:40-11:50,Line Entry – Arena 1,Panzerabwehrfluggerät
11:40-11:50,Line Entry – Arena 2,Byte Me
11:40-11:50,Line Entry – Arena 3,Pixelbauer
11:40-11:50,Line – Arena 1,NLO Rescue CRO Team
11:40-11:50,Line – Arena 2,Mechanic Team
11:40-11:50,Line – Arena 3,Eurobot
11:40-11:50,Maze – Arena 1,TechTitans
11:40-11:50,Online_Simulation – Arena 1,Metal Minds
11:50-12:00,Line Entry – Arena 1,Tobix
11:50-12:00,Line Entry – Arena 2,Astrogix
11:50-12:00,Line Entry – Arena 3,Keine Ahnung
11:50-12:00,Line – Arena 1,Library
11:50-12:00,Line – Arena 2,Die Haftelmacher
11:50-12:00,Line – Arena 3,Das Original
11:50-12:00,Maze – Arena 1,DIPH
11:50-12:00,Online_Simulation – Arena 1,MS LaHö
12:00-12:15,Interview 1,"Mechanic Team, Eurobot"
12:00-12:15,Interview 2,"Negativ, Botzilla"
12:00-12:10,Line Entry – Arena 1,Team Talentlosen
12:00-12:10,Line Entry – Arena 2,Doofuse
12:00-12:10,Line Entry – Arena 3,Wowa 2.0
12:00-12:10,Line – Arena 1,we:bots
12:00-12:10,Line – Arena 2,GearUp
12:00-12:10,Line – Arena 3,Die Glorreichen 4
12:00-12:10,Maze – Arena 1,(Entry) Stars
12:00-12:10,Online_Simulation – Arena 1,O-Dorf
12:10-12:20,Line Entry – Arena 1,Renegade
12:10-12:20,Line Entry – Arena 2,Queens of the Robots
12:10-12:20,Line Entry – Arena 3,Frederik Squad
12:10-12:20,Line – Arena 1,Kaktus
12:10-12:20,Line – Arena 2,Nebenniere
12:10-12:20,Line – Arena 3,Kepler 404
12:10-12:20,Maze – Arena 1,(Entry) Mazetrix Vienna
12:10-12:20,Online_Simulation – Arena 1,MS HöWe
12:15-12:30,Interview 1,"Library, Die Haftelmacher"
12:15-12:30,Interview 2,"Ifhungryeat, Schwainsbraten_Hooligans"
12:20-12:30,Line Entry – Arena 1,The Bots
12:20-12:30,Line Entry – Arena 2,The Prime
12:20-12:30,Line Entry – Arena 3,Volte Bot
12:20-12:30,Line – Arena 1,2 Gehörnzellen
12:20-12:30,Line – Arena 2,Project William
12:20-12:30,Line – Arena 3,Project X
13:30-13:45,Interview 1,"Das Original, we:bots"
13:30-13:45,Interview 2,"GearUp, Die Glorreichen 4"
13:30-13:40,Line Entry – Arena 1,Chaos-Piloten
13:30-13:40,Line Entry – Arena 2,DDHS
13:30-13:40,Line Entry – Arena 3,Die Grafen
13:30-13:40,Line – Arena 1,TriByte
13:30-13:40,Line – Arena 2,NanoRobots
13:30-13:40,Line – Arena 3,Angora Goasbock
13:30-13:40,Maze – Arena 1,B.Robots Seniors
13:30-13:40,Online_Simulation – Arena 1,Metal Minds
13:40-13:50,Line Entry – Arena 1,Team Günther 7
13:40-13:50,Line Entry – Arena 2,PlaKaRaNi
13:40-13:50,Line Entry – Arena 3,E&E
13:40-13:50,Line – Arena 1,Project PVP
13:40-13:50,Line – Arena 2,Deep-Drive
13:40-13:50,Line – Arena 3,Die (3) 2 Robomenschen
13:40-13:50,Maze – Arena 1,B.Robots
13:40-13:50,Online_Simulation – Arena 1,MS LaHö
13:45-14:00,Interview 1,"Kaktus, Nebenniere"
13:45-14:00,Interview 2,"Kepler 404, 2 Gehörnzellen"
13:50-14:00,Line Entry – Arena 1,Klaka Robotics
13:50-14:00,Line Entry – Arena 2,Negativ
13:50-14:00,Line Entry – Arena 3,Botzilla
13:50-14:00,Line – Arena 1,HTL Trieben Engineering
13:50-14:00,Line – Arena 2,NLO Rescue CRO Team
13:50-14:00,Line – Arena 3,Mechanic Team
13:50-14:00,Maze – Arena 1,B.Robots Juniors
13:50-14:00,Online_Simulation – Arena 1,O-Dorf
14:00-14:15,Interview 1,"Project William, Project X"
14:00-14:15,Interview 2,"TriByte, NanoRobots"
14:00-14:10,Line Entry – Arena 1,Ifhungryeat
14:00-14:10,Line Entry – Arena 2,Schwainsbraten_Hooligans
14:00-14:10,Line Entry – Arena 3,Gulaschpanzer
14:00-14:10,Line – Arena 1,Eurobot
14:00-14:10,Line – Arena 2,Library
14:00-14:10,Line – Arena 3,Die Haftelmacher
14:00-14:10,Maze – Arena 1,Lugner
14:00-14:10,Online_Simulation – Arena 1,MS HöWe
14:10-14:20,Line Entry – Arena 1,Cyberhühner
14:10-14:20,Line Entry – Arena 2,CyberStorm
14:10-14:20,Line Entry – Arena 3,Die Linienrichter
14:10-14:20,Line – Arena 1,Das Original
14:10-14:20,Line – Arena 2,we:bots
14:10-14:20,Line – Arena 3,GearUp
14:10-14:20,Maze – Arena 1,Fight Club
14:15-14:30,Interview 1,"Metal Minds, MS LaHö"
14:15-14:30,Interview 2,"Angora Goasbock, Project PVP"
14:20-14:30,Line Entry – Arena 1,Night Strikers
14:20-14:30,Line Entry – Arena 2,Stroke_of_Genius
14:20-14:30,Line Entry – Arena 3,Code4U Line
14:20-14:30,Line – Arena 1,Die Glorreichen 4
14:20-14:30,Line – Arena 2,Kaktus
14:20-14:30,Line – Arena 3,Nebenniere
14:20-14:30,Maze – Arena 1,Monstar in Muul
14:30-14:45,Interview 1,"HTL Trieben Engineering, NLO Rescue CRO Team"
14:30-14:45,Interview 2,"Gulaschpanzer, Cyberhühner"
14:30-14:40,Line Entry – Arena 1,Salamibrot
14:30-14:40,Line Entry – Arena 2,Made in China
14:30-14:40,Line Entry – Arena 3,Miss klickt
14:30-14:40,Line – Arena 1,Kepler 404
14:30-14:40,Line – Arena 2,2 Gehörnzellen
14:30-14:40,Line – Arena 3,Project William
14:30-14:40,Maze – Arena 1,Gebrüder Weiss CRO Team
14:40-14:50,Line Entry – Arena 1,The Ninjas
14:40-14:50,Line Entry – Arena 2,Project Pommes
14:40-14:50,Line Entry – Arena 3,Potato Girls
14:40-14:50,Line – Arena 1,Project X
14:40-14:50,Line – Arena 2,TriByte
14:40-14:50,Line – Arena 3,NanoRobots
14:40-14:50,Maze – Arena 1,TechTitans
14:40-14:50,Online_Simulation – Arena 1,Metal Minds
14:45-15:00,Interview 1,"CyberStorm, Die Linienrichter"
14:45-15:00,Interview 2,"Night Strikers, Stroke_of_Genius"
14:50-15:00,Line Entry – Arena 1,Kampfzwerge
14:50-15:00,Line Entry – Arena 2,Ninja Turtles
14:50-15:00,Line Entry – Arena 3,Big Rösti
14:50-15:00,Line – Arena 1,Angora Goasbock
14:50-15:00,Line – Arena 2,Project PVP
14:50-15:00,Line – Arena 3,Deep-Drive
14:50-15:00,Maze – Arena 1,DIPH
14:50-15:00,Online_Simulation – Arena 1,MS LaHö
15:00-15:15,Interview 1,"Code4U Line, Salamibrot"
15:00-15:15,Interview 2,"Made in China, Miss klickt"
15:00-15:10,Line Entry – Arena 1,No pain no gain
15:00-15:10,Line Entry – Arena 2,Panzerabwehrfluggerät
15:00-15:10,Line Entry – Arena 3,Byte Me
15:00-15:10,Line – Arena 1,Die (3) 2 Robomenschen
15:00-15:10,Line – Arena 2,HTL Trieben Engineering
15:00-15:10,Line – Arena 3,NLO Rescue CRO Team
15:00-15:10,Maze – Arena 1,(Entry) Stars
15:00-15:10,Online_Simulation – Arena 1,O-Dorf
15:10-15:20,Line Entry – Arena 1,Pixelbauer
15:10-15:20,Line Entry – Arena 2,Tobix
15:10-15:20,Line Entry – Arena 3,Astrogix
15:10-15:20,Line – Arena 1,Mechanic Team
15:10-15:20,Line – Arena 2,Eurobot
15:10-15:20,Line – Arena 3,Library
15:10-15:20,Maze – Arena 1,(Entry) Mazetrix Vienna
15:10-15:20,Online_Simulation – Arena 1,MS HöWe
15:15-15:30,Interview 1,"The Ninjas, Project Pommes"
15:15-15:30,Interview 2,"Potato Girls, Kampfzwerge"
15:20-15:30,Line Entry – Arena 1,Keine Ahnung
15:20-15:30,Line Entry – Arena 2,Team Talentlosen
15:20-15:30,Line Entry – Arena 3,Doofuse
15:20-15:30,Line – Arena 1,Die Haftelmacher
15:20-15:30,Line – Arena 2,Das Original
15:20-15:30,Line – Arena 3,we:bots
15:30-15:45,Interview 1,"B.Robots Seniors, B.Robots"
15:30-15:45,Interview 2,"B.Robots Juniors, Lugner"
15:30-15:40,Line Entry – Arena 1,Wowa 2.0
15:30-15:40,Line Entry – Arena 2,Renegade
15:30-15:40,Line Entry – Arena 3,Queens of the Robots
15:30-15:40,Line – Arena 1,GearUp
15:30-15:40,Line – Arena 2,Die Glorreichen 4
15:30-15:40,Line – Arena 3,Kaktus
15:40-15:50,Line Entry – Arena 1,Frederik Squad
15:40-15:50,Line Entry – Arena 2,The Bots
15:40-15:50,Line Entry – Arena 3,The Prime
15:40-15:50,Line – Arena 1,Nebenniere
15:40-15:50,Line – Arena 2,Kepler 404
15:40-15:50,Line – Arena 3,2 Gehörnzellen
15:45-16:00,Interview 1,"Fight Club, Monstar in Muul"
15:45-16:00,Interview 2,"Gebrüder Weiss CRO Team, TechTitans"
15:50-16:00,Line Entry – Arena 1,Volte Bot
15:50-16:00,Line Entry – Arena 2,Chaos-Piloten
15:50-16:00,Line Entry – Arena 3,DDHS
15:50-16:00,Line – Arena 1,Project William
15:50-16:00,Line – Arena 2,Project X
15:50-16:00,Line – Arena 3,TriByte
16:00-16:15,Interview 1,"Ninja Turtles, Big Rösti"
