time_slot,resource,teams
16:00-16:15,Interview 2,"No pain no gain, Panzerabwehrfluggerät"
16:00-16:10,Line Entry – Arena 1,Die Grafen
16:00-16:10,Line Entry – Arena 2,Team Günther 7
16:00-16:10,Line Entry – Arena 3,PlaKaRaNi
16:00-16:10,Line – Arena 1,NanoRobots
16:00-16:10,Line – Arena 2,Angora Goasbock
16:00-16:10,Line – Arena 3,Project PVP
16:10-16:20,Line Entry – Arena 1,E&E
16:10-16:20,Line Entry – Arena 2,Klaka Robotics
16:10-16:20,Line Entry – Arena 3,Negativ
16:10-16:20,Line – Arena 1,Deep-Drive
16:10-16:20,Line – Arena 2,Die (3) 2 Robomenschen
16:10-16:20,Line – Arena 3,HTL Trieben Engineering
16:10-16:20,Maze – Arena 1,B.Robots Seniors
16:15-16:30,Interview 1,"Byte Me, Pixelbauer"
16:15-16:30,Interview 2,"Tobix, Astrogix"
16:20-16:30,Line Entry – Arena 1,Botzilla
16:20-16:30,Line Entry – Arena 2,Ifhungryeat
16:20-16:30,Line Entry – Arena 3,Schwainsbraten_Hooligans
16:20-16:30,Line – Arena 1,NLO Rescue CRO Team
16:20-16:30,Line – Arena 2,Mechanic Team
16:20-16:30,Line – Arena 3,Eurobot
16:20-16:30,Maze – Arena 1,B.Robots
16:30-16:45,Interview 1,"Deep-Drive, Die (3) 2 Robomenschen"
16:30-16:45,Interview 2,"Keine Ahnung, Team Talentlosen"
16:30-16:40,Line Entry – Arena 1,Gulaschpanzer
16:30-16:40,Line Entry – Arena 2,Cyberhühner
16:30-16:40,Line Entry – Arena 3,CyberStorm
16:30-16:40,Line – Arena 1,Library
16:30-16:40,Line – Arena 2,Die Haftelmacher
16:30-16:40,Line – Arena 3,Das Original
16:30-16:40,Maze – Arena 1,B.Robots Juniors
16:40-16:50,Line Entry – Arena 1,Die Linienrichter
16:40-16:50,Line Entry – Arena 2,Night Strikers
16:40-16:50,Line Entry – Arena 3,Stroke_of_Genius
16:40-16:50,Line – Arena 1,we:bots
16:40-16:50,Line – Arena 2,GearUp
16:40-16:50,Line – Arena 3,Die Glorreichen 4
16:40-16:50,Maze – Arena 1,Lugner
16:45-17:00,Interview 1,"Doofuse, Wowa 2.0"
16:45-17:00,Interview 2,"Renegade, Queens of the Robots"
16:50-17:00,Line Entry – Arena 1,Code4U Line
16:50-17:00,Line Entry – Arena 2,Salamibrot
16:50-17:00,Line Entry – Arena 3,Made in China
16:50-17:00,Line – Arena 1,Kaktus
16:50-17:00,Line – Arena 2,Nebenniere
16:50-17:00,Line – Arena 3,Kepler 404
16:50-17:00,Maze – Arena 1,Fight Club
17:00-17:15,Interview 1,"Frederik Squad, The Bots"
17:00-17:15,Interview 2,"The Prime, Volte Bot"
17:15-17:30,Interview 1,"Chaos-Piloten, DDHS"
17:15-17:30,Interview 2,"Die Grafen, Team Günther 7"
